city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
New York,FirstService Residential,US,2014-08-12 08:23:13,4a9e43b972268e96,Energy Data Analyst,40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=4a9e43b972268e96&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KUPDXN_D2AI1pADZ5diohv_MQgRfwuc1MYwhqfMjIoKG8aNGOcT_y2Q5lXCz6jV5s&indpubnum=4889224015872296&atk=190a5f8jq1d3h3fu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Seattle,Sogeti,US,2014-08-12 07:47:40,bfe0db7c34693cfa,Data Analyst,47.604397,-122.32967,WA,http://www.indeed.com/viewjob?jk=bfe0db7c34693cfa&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9L3eGb1R6djEvbLTasqTfyz4Z0r1R5zmkNbj4VOJWHLHFjMuIZOSm00Jj-u8fFXwhc&indpubnum=4889224015872296&atk=190a5opqt1d314qd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Tallahassee,Automated Health Systems,US,2014-08-12 07:13:34,665e3bd53b8a1f35,SQL Data Analyst/Developer,30.436813,-84.28022,FL,http://www.indeed.com/viewjob?jk=665e3bd53b8a1f35&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LLBCiPjkU9KpwDU5bpt3OiEL9x_Tpofxobm740digpX6PROgF6AMiHNVDQqgU7yWA&indpubnum=4889224015872296&atk=190a5341c1d616gd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dallas,Aetna,US,2014-08-12 06:38:14,bc27bcf6bbb0e04f,Senior Business Analyst,32.782967,-96.8022,TX,http://www.indeed.com/viewjob?jk=bc27bcf6bbb0e04f&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KLdT4cW5TS8hByZED3VJdosY2RNltsQsMe6iuw_4n_rV420ArpygQmlUlOpbWW_EY&indpubnum=4889224015872296&atk=190a5m6g11d4i0rs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carmel,Fuzion Analytics,US,2014-08-12 06:34:01,64304d4c314a173f,Senior Data Analyst,39.967033,-86.15934,IN,http://www.indeed.com/viewjob?jk=64304d4c314a173f&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9K57tOgZx2uDq6fMn3VIiidP5UossZuJ7aM-Kyj6OzRP6_VgrpSuenqJsHkSE4xxgs&indpubnum=4889224015872296&atk=190a55i4c1d6h1bl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chicago,RiverPoint Group LLC,US,2014-08-12 06:29:35,3b8378e004c1e779,Research Data Analyst,41.8489,-87.64835,IL,http://www.indeed.com/viewjob?jk=3b8378e004c1e779&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9Ji_N1lCNco_1Qb6o_wn_YYbUylFMtGSdj3wGw9oPlG2gvTIwPGDPu2at-8N_fRUvs&indpubnum=4889224015872296&atk=190a551ge1d514m5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
St. Louis,"Envision, LLC",US,2014-08-12 06:27:53,6db305d87f50a327,Data Analyst/Applied Statistician - Intermediate,38.626373,-90.1978,MO,http://www.indeed.com/viewjob?jk=6db305d87f50a327&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9I6B5XPu2Ew-VrIxmUWCmEQD8f7lw2UxdxWldkJhjEz9LNRGBXGFkSvNTJBNUnVOvc&indpubnum=4889224015872296&atk=190a5b8qp1d3i6c5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
San Diego,"AbleForce,Inc",US,2014-08-12 06:26:00,2f89d7ecc996abc8,SQL DBA,32.714287,-117.15385,CA,http://www.indeed.com/viewjob?jk=2f89d7ecc996abc8&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KhckHN80-uURCmMV-ouodrGp6jym_krcGFaWElJybt0Q2KvI86SUlUP-xgDbqjt3A&indpubnum=4889224015872296&atk=190a50n9h1d7224d,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Worcester,University of Massachusetts - Medical School,US,2014-08-12 06:06:33,d47728385106d97e,Health Data Analyst,42.26099,-71.8022,MA,http://www.indeed.com/viewjob?jk=d47728385106d97e&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LulBvtWb3NvLPZ9bcwG7w0LKuJy9BzgjjY5yEKN_5Fi9iAhEiu3uhE4jUKCsfxbNw&indpubnum=4889224015872296&atk=190a593k61d6h6el,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
Urbana,Jserver,US,2014-08-12 06:00:42,73f22f92bdfa8ec0,IT Tech Associate,40.10989,-88.2033,IL,http://www.indeed.com/viewjob?jk=73f22f92bdfa8ec0&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9Ji_N1lCNco_1Qb6o_wn_YYbUylFMtGSdj3wGw9oPlG2gvTIwPGDPu2at-8N_fRUvs&indpubnum=4889224015872296&atk=190a551nd1d4155q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Longmont,West Corporation,US,2014-08-12 05:56:50,a4cef9be029a935c,Associate Data Analyst,40.164837,-105.0989,CO,http://www.indeed.com/viewjob?jk=a4cef9be029a935c&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9IrKAxaAZAJmmRE2mGDz-1JYyxJ1mIsKdyqzLj5sotZUTgKnFPKLGAcxfyCcq5lBSo&indpubnum=4889224015872296&atk=190a5136g1d421i2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Burlingame,"Acumen, LLC",US,2014-08-12 05:56:47,b435dc8d9a4f97d5,Data Systems Programmer-Research Specialist,37.582417,-122.36264,CA,http://www.indeed.com/viewjob?jk=b435dc8d9a4f97d5&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KhckHN80-uURCmMV-ouodrGp6jym_krcGFaWElJybt0Q2KvI86SUlUP-xgDbqjt3A&indpubnum=4889224015872296&atk=190a50n9h1d7224d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Burlingame,"Acumen, LLC",US,2014-08-12 05:56:47,8bce2da6e3e47807,Data Systems Programmer-Operations Specialist,37.582417,-122.36264,CA,http://www.indeed.com/viewjob?jk=8bce2da6e3e47807&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KhckHN80-uURCmMV-ouodrGp6jym_krcGFaWElJybt0Q2KvI86SUlUP-xgDbqjt3A&indpubnum=4889224015872296&atk=190a50nm91d414pl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
