city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Norwalk,Diverse Lynx,US,2014-06-20 02:30:58,f34001ddf69d8c3c,Data Architecture,41.115383,-73.40659,CT,http://www.indeed.com/viewjob?jk=f34001ddf69d8c3c&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKkajlBcrs1bnBcg7PzrrAG7PIkoQHPjcmwlafYig2n9PeeM95w73ce_uLDvxG0pEM&indpubnum=4889224015872296&atk=190auprfn1d520fu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reston,Realinterface,US,2014-06-19 21:51:09,7114460ecafaae9b,Web Services Senior Applications Developer-TS/SCI w/Poly,38.967033,-77.34066,VA,http://www.indeed.com/viewjob?jk=7114460ecafaae9b&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJnaH6XR-qtdnYDZsjXhfV0Pte-j3EM7MZonvxZ98zBT-6BIwxay1d38awy94muqzU1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190auq95u1d2i76f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
San Ramon,BNP Paribas,US,2014-06-19 21:43:16,683526be35effa60,Application Architect II,37.777473,-121.97802,CA,http://www.indeed.com/viewjob?jk=683526be35effa60&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIqoguffVOTDaP8tAyp2K6vJBEmpDp0QoXfALFHMNzCOixYZTlesOkdcw5Jorz-jJk1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190auostv1d4h0ir,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
San Ramon,BNP Paribas,US,2014-06-19 21:43:12,6539dce3778e28fe,Lead Data Architect,37.777473,-121.97802,CA,http://www.indeed.com/viewjob?jk=6539dce3778e28fe&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIqoguffVOTDaP8tAyp2K6vJBEmpDp0QoXfALFHMNzCOixYZTlesOkdcw5Jorz-jJk1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190auot3o1d5h75a,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chantilly,"The SI Organization, Inc.",US,2014-06-19 20:57:56,d62e0459de58bb12,Data Modeler / Data Architect,38.892857,-77.42857,VA,http://www.indeed.com/viewjob?jk=d62e0459de58bb12&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJnaH6XR-qtdnYDZsjXhfV0Pte-j3EM7MZonvxZ98zBT0vgnQIvm1YOWW8BObZjUTw1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190auq8ru1d2h537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ann Arbor,Sai People Solutions,US,2014-06-19 20:48:31,84c6f91829a41e16,SQL Server DBA/Data Architect,42.277473,-83.73627,MI,http://www.indeed.com/viewjob?jk=84c6f91829a41e16&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJAMlYA2Qy_ip1iTlBXIPLWlXF5N1g8E037WihP9_waZwq4AV-oeFviG_Ei8pD154M&indpubnum=4889224015872296&atk=190av20d61d6i3uc,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Jersey City,Randstad Technologies,US,2014-06-19 19:55:44,10a4e06237ad0dea,Sr. Data Architect / Developer,40.728024,-74.07692,NJ,http://www.indeed.com/viewjob?jk=10a4e06237ad0dea&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKq2gdfsJzKb-RzMJ4iKJKkRdrh7ENTtFp56hl1LhhNVkv4D3r_ZkY9FD4Y4NnmjCw&indpubnum=4889224015872296&atk=190av7d9j1d3126i,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Chicago,ECS,US,2014-06-19 16:37:46,303ca297b78511f6,Sharepoint Specialist,41.8489,-87.64835,IL,http://www.indeed.com/viewjob?jk=303ca297b78511f6&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJwM65vh4FXjUU8eRYlOTxPT_d39VondbnUqveOKM6or1W-SH4nS44B47ivwyeDP5w&indpubnum=4889224015872296&atk=190ausnig1d4i7ih,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
Cincinnati,Sogeti,US,2014-06-19 10:03:27,82954120c6d874ba,Data Architect Oracle,39.15934,-84.45605,OH,http://www.indeed.com/viewjob?jk=82954120c6d874ba&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJmI13S77JjQ0lTYmWjhtYdhy8rEHxBcxlRU7QX0LaXkIx9jKBhN2t69V5usywJu-I&indpubnum=4889224015872296&atk=190avals61d712ga,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey City,TTS Staffing,US,2014-06-19 09:23:24,374d4984be6a330d,Enterprise Data Architect,40.728024,-74.07692,NJ,http://www.indeed.com/viewjob?jk=374d4984be6a330d&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKq2gdfsJzKb-RzMJ4iKJKkRdrh7ENTtFp56hl1LhhNVkv4D3r_ZkY9FD4Y4NnmjCw&indpubnum=4889224015872296&atk=190av7d9j1d3126i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
